Angle,IntersectionArea_Pixels²
9.34,580.6007045858213
9.35,580.7539456660372
9.36,580.9077053835422
9.37,581.061994951056
9.38,581.2168124830957
9.39,581.3721230747278
9.4,581.5279145007539
9.41,581.6841815235491
9.42,581.8408644549434
9.43,581.997947029302
9.44,582.1554280831406
9.45,582.3132973893878
9.46,582.4715735079741
9.47,582.630256733415
9.48,582.7893578439642
9.49,582.9489532781786
9.5,583.1090584509217
9.51,583.2696374632566
9.52,583.4306557459072
9.53,583.5922253350626
9.54,583.7543842604614
9.55,583.9171935905973
9.56,584.0806624491221
9.57,584.2447879264259
9.58,584.4095703204672
9.59,584.5750276797542
9.6,584.7411957714643
9.61,584.9080153778185
9.62,585.0754777210049
9.63,585.2435831129549
9.64,585.4123698427641
9.65,585.5818813956356
9.66,585.7521181702966
9.67,585.9230805165222
9.68,586.0947907115735
9.69,586.2672744326815
9.7,586.4404804399179
9.71,586.6143788147284
9.72,586.7889699093326
9.73,586.9642627307114
9.74,587.1403183798626
9.75,587.3171489911358
9.76,587.4947549544498
9.77,587.6731366538414
9.78,587.8523022801976
9.79,588.0322523413249
9.8,588.2129346765267
9.81,588.3943526875713
9.82,588.5765071620816
9.83,588.7594352818805
9.84,588.9431816518197
9.85,589.127746792163
9.86,589.3131311269327
9.87,589.4993350743914
9.88,589.6863510393271
9.89,589.8741178395063
9.9,590.0626461207082
9.91,590.2519481665273
9.92,590.4420393628361
9.93,590.632981052687
9.94,590.8247865026034
9.95,591.0174561769397
9.96,591.2109905342526
9.97,591.4053895534952
9.98,591.6006035113777
9.99,591.7965991602754
10.0,591.993376964354
10.01,592.1909451746192
10.02,592.3893499535376
10.03,592.5886398319058
10.04,592.7888156047604
10.05,592.989877768966
10.06,593.1918268157767
10.07,593.3946368386713
10.08,593.598251977323
10.09,593.8026826678174
10.1,594.0079473530196
10.11,594.2140526127142
10.12,594.4210579068076
10.13,594.6289341000275
10.14,594.8376507384398
10.15,595.047231825337
10.16,595.257717311198
10.17,595.469045699244
10.18,595.681206183363
